service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
17000070672-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
1087078691-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1036082323-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,1,1
1123078856-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,1,1
1992054126-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1981053494-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
4957068879-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1035082296-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1064073764-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
50051071419-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
14757054319-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
3813046715-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
18028072706-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
3887005832-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
5580063505-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
3886005679-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
2326060936-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
7003018503-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,1
23100071138-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
3886005712-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
18053069334-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14030042252-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1123078869-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,1
3100033933-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
1981053511-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14767064258-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1981053636-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
13221081385-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14721047160-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
4955068808-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
14635064936-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
3922046164-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14258044197-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
12875065613-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
13221081417-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
2353061108-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
1063073597-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
3905041642-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1063073551-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
23100071016-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
14299069605-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
5550034612-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
1130082452-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
3886005723-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
14798066247-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
4955068838-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
1063059829-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
13223081507-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,1
14020064987-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
23500072536-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
3813069706-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
14769040922-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
1063073592-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
1091077888-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
3905041592-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
50051079223-20170602141618_v54.27,20170611,20170712,0,0,0,0,1,0,0
4972068943-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
3804041160-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
12891064466-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
