service_id,date,exception_type
50051071419-20170602141618_v54.27,20170708,2
50051071419-20170602141618_v54.27,20170624,2
18053069334-20170602141618_v54.27,20170712,2
18053069334-20170602141618_v54.27,20170710,2
18053069334-20170602141618_v54.27,20170711,2
23100071016-20170602141618_v54.27,20170708,2
23100071016-20170602141618_v54.27,20170624,2
50051079223-20170602141618_v54.27,20170616,2
1085078761-20170602141618_v54.27,20170712,1
1085078761-20170602141618_v54.27,20170710,1
1085078761-20170602141618_v54.27,20170711,1
23100083962-20170602141618_v54.27,20170616,1
17000083895-20170602141618_v54.27,20170616,1
5580063438-20170602141618_v54.27,20170712,2
5580063438-20170602141618_v54.27,20170710,2
5580063438-20170602141618_v54.27,20170711,2
17000083866-20170602141618_v54.27,20170708,1
17000083866-20170602141618_v54.27,20170624,1
17000070501-20170602141618_v54.27,20170616,2
1057083128-20170602141618_v54.27,20170712,2
1057083128-20170602141618_v54.27,20170710,2
1057083128-20170602141618_v54.27,20170711,2
21030083110-20170705140526_v55.10,20170717,2
21030083110-20170705140526_v55.10,20170714,2
21030083110-20170705140526_v55.10,20170720,2
21030083110-20170705140526_v55.10,20170713,2
21030083110-20170705140526_v55.10,20170721,2
21030083110-20170705140526_v55.10,20170718,2
21030083110-20170705140526_v55.10,20170719,2
23100071088-20170602141618_v54.27,20170708,2
23100071088-20170602141618_v54.27,20170624,2
50051071499-20170602141618_v54.27,20170616,2
17000083773-20170602141618_v54.27,20170616,1
21055043338-20170602141618_v54.27,20170712,2
21055043338-20170602141618_v54.27,20170710,2
21055043338-20170602141618_v54.27,20170711,2
21261083134-20170705140526_v55.10,20170717,2
21261083134-20170705140526_v55.10,20170714,2
21261083134-20170705140526_v55.10,20170720,2
21261083134-20170705140526_v55.10,20170713,2
21261083134-20170705140526_v55.10,20170721,2
21261083134-20170705140526_v55.10,20170718,2
21261083134-20170705140526_v55.10,20170719,2
21305083179-20170705140526_v55.10,20170717,2
21305083179-20170705140526_v55.10,20170714,2
21305083179-20170705140526_v55.10,20170720,2
21305083179-20170705140526_v55.10,20170713,2
21305083179-20170705140526_v55.10,20170721,2
21305083179-20170705140526_v55.10,20170718,2
21305083179-20170705140526_v55.10,20170719,2
18015080513-20170602141618_v54.27,20170712,2
18015080513-20170602141618_v54.27,20170710,2
18015080513-20170602141618_v54.27,20170711,2
17000083882-20170602141618_v54.27,20170708,1
17000083882-20170602141618_v54.27,20170624,1
50051071387-20170602141618_v54.27,20170616,2
17000083854-20170602141618_v54.27,20170708,1
17000083854-20170602141618_v54.27,20170624,1
23100070269-20170602141618_v54.27,20170616,2
14770064330-20170705140526_v55.10,20170717,2
14770064330-20170705140526_v55.10,20170714,2
14770064330-20170705140526_v55.10,20170720,2
14770064330-20170705140526_v55.10,20170713,2
14770064330-20170705140526_v55.10,20170721,2
14770064330-20170705140526_v55.10,20170718,2
14770064330-20170705140526_v55.10,20170719,2
21241080527-20170705140526_v55.10,20170717,2
21241080527-20170705140526_v55.10,20170714,2
21241080527-20170705140526_v55.10,20170720,2
21241080527-20170705140526_v55.10,20170713,2
21241080527-20170705140526_v55.10,20170721,2
21241080527-20170705140526_v55.10,20170718,2
21241080527-20170705140526_v55.10,20170719,2
21022043329-20170705140526_v55.10,20170717,2
21022043329-20170705140526_v55.10,20170714,2
21022043329-20170705140526_v55.10,20170720,2
21022043329-20170705140526_v55.10,20170713,2
21022043329-20170705140526_v55.10,20170721,2
21022043329-20170705140526_v55.10,20170718,2
21022043329-20170705140526_v55.10,20170719,2
1132083136-20170705140526_v55.10,20170717,2
1132083136-20170705140526_v55.10,20170714,2
1132083136-20170705140526_v55.10,20170720,2
1132083136-20170705140526_v55.10,20170713,2
1132083136-20170705140526_v55.10,20170721,2
1132083136-20170705140526_v55.10,20170718,2
1132083136-20170705140526_v55.10,20170719,2
50051071508-20170602141618_v54.27,20170616,2
21044069376-20170602141618_v54.27,20170712,2
21044069376-20170602141618_v54.27,20170710,2
21044069376-20170602141618_v54.27,20170711,2
17000070384-20170602141618_v54.27,20170616,2
1050083234-20170602141618_v54.27,20170712,2
1050083234-20170602141618_v54.27,20170710,2
1050083234-20170602141618_v54.27,20170711,2
21282043307-20170705140526_v55.10,20170717,2
21282043307-20170705140526_v55.10,20170714,2
21282043307-20170705140526_v55.10,20170720,2
21282043307-20170705140526_v55.10,20170713,2
21282043307-20170705140526_v55.10,20170721,2
21282043307-20170705140526_v55.10,20170718,2
21282043307-20170705140526_v55.10,20170719,2
23100070981-20170602141618_v54.27,20170616,2
21039043101-20170602141618_v54.27,20170712,2
21039043101-20170602141618_v54.27,20170710,2
21039043101-20170602141618_v54.27,20170711,2
1132083135-20170602141618_v54.27,20170712,2
1132083135-20170602141618_v54.27,20170710,2
1132083135-20170602141618_v54.27,20170711,2
5580063464-20170705140526_v55.10,20170717,1
5580063464-20170705140526_v55.10,20170714,1
5580063464-20170705140526_v55.10,20170720,1
5580063464-20170705140526_v55.10,20170713,1
5580063464-20170705140526_v55.10,20170721,1
5580063464-20170705140526_v55.10,20170718,1
5580063464-20170705140526_v55.10,20170719,1
21030083111-20170602141618_v54.27,20170712,2
21030083111-20170602141618_v54.27,20170710,2
21030083111-20170602141618_v54.27,20170711,2
18141080540-20170705140526_v55.10,20170717,2
18141080540-20170705140526_v55.10,20170714,2
18141080540-20170705140526_v55.10,20170720,2
18141080540-20170705140526_v55.10,20170713,2
18141080540-20170705140526_v55.10,20170721,2
18141080540-20170705140526_v55.10,20170718,2
18141080540-20170705140526_v55.10,20170719,2
18276080630-20170602141618_v54.27,20170712,2
18276080630-20170602141618_v54.27,20170710,2
18276080630-20170602141618_v54.27,20170711,2
21218043092-20170705140526_v55.10,20170717,2
21218043092-20170705140526_v55.10,20170714,2
21218043092-20170705140526_v55.10,20170720,2
